Document Number,Invoice Number,Invoice Time,GUID,Merchant Reference Number,Tracking Number,Parent Merchant ID,Merchant ID,Merchant Name,Currency,Base Fee,Discount Fee,Discount Percentage,Billed Fee,Signature Fee,Pickup Fee,Over Dimension Fee,Over Max Size Fee,Over-weight Fee,Fuel Surcharge,Peak Season Surcharge,Delivery Area Surcharge,Delivery Area Surcharge Extend,Truck Fee,Relabel Fee,Miscellaneous Fee,Credit,Approved Claim,Credit Card Surcharge,Total Billed Amount,Induction Facility,Induction Facility ZipCode,Consignee Address,Destination Facility,Destination ZipCode,Channel Code,Zone,Manifest Billing,Billable Weight,Billable Weight UOM,Scaled Weight,Scaled Weight UOM,Manifested Weight(lb/oz),Manifested Weight UOM(lb/oz),Manifested Weight,Manifested Weight UOM,IS Rated As DIM Weight,DIM Factor,Dim Weight(lbs),Dim Weight UOM(lbs),Dim Weight,Dim Weight UOM,Package Length,Package Width,Package Height,Package DIM UOM,Shipping Order Created Time,Induction Time,Billable Time,GUID Created Time,Shipped Time,Delivered Time,Service Type
3764,6603764250922988,2025-09-22 16:07:21,89035688,,UUS5986607810553551,660,3050,Falcon Fulfillment,USD,3.39,0,,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,ORD,60634,,CVG,45208,,3,,11.0000,OZS,10.4000,OZS,10.4000,OZS,10.4000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-08 20:24:56,2025-09-10 05:07:15,2025-09-22 17:15:22,2025-09-10 05:07:15,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035689,,UUS5986606810549316,660,3050,Falcon Fulfillment,USD,3.23,0,,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,ORD,60634,,ORD,46405,,2,,8.0000,OZS,7.2000,OZS,7.2000,OZS,7.2000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-08 20:24:59,2025-09-09 19:14:18,2025-09-22 17:15:22,2025-09-09 19:14:18,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035690,,UUS59A6600821510305,660,3050,Falcon Fulfillment,USD,3.33,0,,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,ORD,60634,,ORD,46307,,2,,12.0000,OZS,12.0000,OZS,12.0000,OZS,12.0000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-11 00:20:28,2025-09-11 19:08:49,2025-09-22 17:15:22,2025-09-11 19:08:49,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035691,,UUS5996606816914905,660,3050,Falcon Fulfillment,USD,3.39,0,,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,ORD,60634,,CVG,45244,,3,,11.0000,OZS,10.4000,OZS,10.4000,OZS,10.4000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-09 21:12:31,2025-09-11 05:48:35,2025-09-22 17:15:22,2025-09-11 05:48:35,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035692,,UUS5996601816191811,660,3050,Falcon Fulfillment,USD,3.29,0,,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,ORD,60634,,ORD,60081,,1,,13.0000,OZS,12.8000,OZS,12.8000,OZS,12.8000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-09 21:03:42,2025-09-11 05:38:56,2025-09-22 17:15:22,2025-09-11 05:38:56,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035693,,UUS5996605816200794,660,3050,Falcon Fulfillment,USD,3.39,0,,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,ORD,60634,,ORD,53590,,2,,13.0000,OZS,12.8000,OZS,12.8000,OZS,12.8000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-09 21:12:41,2025-09-11 04:31:26,2025-09-22 17:15:22,2025-09-11 04:31:26,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035694,,UUS5996605816902211,660,3050,Falcon Fulfillment,USD,3.13,0,,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,ORD,60634,,ORD,60304,,1,,6.0000,OZS,5.6000,OZS,5.6000,OZS,5.6000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-09 21:00:50,2025-09-11 05:02:46,2025-09-22 17:15:22,2025-09-11 05:02:46,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035695,,UUS5996602816941300,660,3050,Falcon Fulfillment,USD,3.45,0,,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,ORD,60634,,ORD,60018,,1,,15.9900,OZS,15.2000,OZS,15.2000,OZS,15.2000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-09 20:57:11,2025-09-11 04:54:29,2025-09-22 17:15:22,2025-09-11 04:54:29,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035696,,UUS5996602816871247,660,3050,Falcon Fulfillment,USD,3.15,0,,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,ORD,60634,,ORD,60525,,1,,8.0000,OZS,7.2000,OZS,7.2000,OZS,7.2000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-09 21:05:45,2025-09-11 05:34:40,2025-09-22 17:15:22,2025-09-11 05:34:40,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035697,,UUS5996604816249285,660,3050,Falcon Fulfillment,USD,3.38,0,,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,ORD,60634,,OMA,68022,,4,,8.0000,OZS,7.2000,OZS,7.2000,OZS,7.2000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-09 21:08:52,2025-09-11 05:33:37,2025-09-22 17:15:22,2025-09-11 05:33:37,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035698,,UUS5996609816881136,660,3050,Falcon Fulfillment,USD,3.21,0,,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,ORD,60634,,CVG,45040,,3,,5.0000,OZS,4.8000,OZS,4.8000,OZS,4.8000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-09 21:11:23,2025-09-11 04:59:40,2025-09-22 17:15:22,2025-09-11 04:59:40,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035699,,UUS5986601810561688,660,3050,Falcon Fulfillment,USD,3.7,0,,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,ORD,60634,,EWR,10927,,5,,13.0000,OZS,12.8000,OZS,12.8000,OZS,12.8000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-08 20:24:52,2025-09-11 01:40:57,2025-09-22 17:15:22,2025-09-11 01:40:57,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035700,,UUS5996603816206555,660,3050,Falcon Fulfillment,USD,4.02,0,,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,ORD,60634,,CVG,45040,,3,,1.0000,LBS,1.0000,LBS,16.0000,OZS,16.0000,OZS,No,,0.7420,LBS,0.7420,LBS,6.0000,6.0000,4.0000,IN,,2025-09-09 21:10:14,2025-09-11 04:59:32,2025-09-22 17:15:22,2025-09-11 04:59:32,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035701,,UUS5996608816892833,660,3050,Falcon Fulfillment,USD,3.27,0,,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,ORD,60634,,CVG,41011,,4,,5.0000,OZS,4.8000,OZS,4.8000,OZS,4.8000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-09 21:09:16,2025-09-11 05:57:05,2025-09-22 17:15:22,2025-09-11 05:57:05,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035702,,UUS5996608816837812,660,3050,Falcon Fulfillment,USD,3.13,0,,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,ORD,60634,,ORD,60137,,1,,6.0000,OZS,5.6000,OZS,5.6000,OZS,5.6000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-09 21:11:37,2025-09-11 05:55:04,2025-09-22 17:15:22,2025-09-11 05:55:04,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035703,,UUS5996605816238025,660,3050,Falcon Fulfillment,USD,3.13,0,,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,ORD,60634,,ORD,60632,,1,,7.0000,OZS,6.4000,OZS,6.4000,OZS,6.4000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-09 21:10:30,2025-09-11 04:50:23,2025-09-22 17:15:22,2025-09-11 04:50:23,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035704,,UUS5996608816779020,660,3050,Falcon Fulfillment,USD,4.22,0,,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,ORD,60634,,CVG,41091,,4,,2.0000,LBS,1.2000,LBS,19.2000,OZS,19.2000,OZS,No,,0.9900,LBS,0.9900,LBS,8.0000,6.0000,4.0000,IN,,2025-09-09 20:55:59,2025-09-11 05:37:34,2025-09-22 17:15:22,2025-09-11 05:37:34,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035705,,UUS59A6605822646490,660,3050,Falcon Fulfillment,USD,3.21,0,,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,ORD,60634,,STL,63122,,3,,5.0000,OZS,4.8000,OZS,4.8000,OZS,4.8000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-10 23:41:37,2025-09-12 06:08:32,2025-09-22 17:15:22,2025-09-12 06:08:32,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035706,,UUS5996607816182308,660,3050,Falcon Fulfillment,USD,3.58,0,,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,ORD,60634,,DFW,75709,,5,,11.0000,OZS,10.4000,OZS,10.4000,OZS,10.4000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-09 21:09:03,2025-09-12 18:15:25,2025-09-22 17:15:22,2025-09-12 18:15:25,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035707,,UUS5996602816911881,660,3050,Falcon Fulfillment,USD,3.54,0,,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,ORD,60634,,CLT,28226,,5,,10.0000,OZS,9.6000,OZS,9.6000,OZS,9.6000,OZS,No,,0.7423,LBS,11.8760,OZS,6.0000,6.0000,4.0000,IN,,2025-09-09 20:56:07,2025-09-12 15:34:45,2025-09-22 17:15:22,2025-09-12 15:34:45,,Ground Express
3764,6603764250922988,2025-09-22 16:07:21,89035708,,UUS59A6600821294335,660,3050,Falcon Fulfillment,USD,3.27,0,,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,ORD,60634,,CVG,41076,,4,,5.0000,OZS,4.8000,OZS,4.8000,OZS,4.8000,OZS,No,,0.3054,LBS,4.8870,OZS,6.6300,3.2500,2.7500,IN,,2025-09-10 23:45:08,2025-09-12 05:21:32,2025-09-22 17:15:22,2025-09-12 05:21:32,,Ground Express
