shipment_order_id,shipment_created_date,label_id,label_legacy_id,account_id,shipment_id,order_id,box_id,box_name,status,tracking_number,alternate_tracking_id,order_number,order_account_id,carrier,shipping_name,shipping_method,cost,box_code,device_id,delivered,picked_up,refunded,needs_refund,profile,partner_fulfillment_id,full_size_to_print,packing_slip,warehouse,warehouse_id,insurance_amount,carrier_account_id,source,label_created_date,tracking_url,package_number,parcelview_url,tracking_status,in_shipping_container,shipping_container_id,dim_weight,dim_height,dim_width,dim_length
T3JkZXI6Nzk2NjU3NjY5,2026-04-13T14:39:14,U2hpcHBpbmdMYWJlbDo2MDMyMjk2Nzk=,603229679,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDg4NDI3,T3JkZXI6Nzk2NjU3NjY5,56814,L-POLY,valid,9234690380878200009086,9234690380878200009086,796657669,85157,usps_modern,Standard Shipping,USPS_GROUND_ADVANTAGE,7.88,02,shipping web,,,,,default,6092178915552,[],,Primary,115706,0.00,41752,shipping web,2026-04-13T14:39:14,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9234690380878200009086,1,,UNKNOWN,False,,1.5562 lb,1.0000 inch,12.00 inch,20.00 inch
T3JkZXI6Nzk2ODk1MDE1,2026-04-13T14:40:44,U2hpcHBpbmdMYWJlbDo2MDMyMzE3OTM=,603231793,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDkwNjIw,T3JkZXI6Nzk2ODk1MDE1,49981,POLY BUBBLE #00,valid,9200190380878200004591,9200190380878200004591,796895015,84983,usps_modern,$6.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,5.22,02,bulk ship,,,,,default,6466218885311,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:40:44,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004591,1,,UNKNOWN,False,,0.2200 lb,2.0000 inch,4.80 inch,8.65 inch
T3JkZXI6Nzk2MzAxMTM5,2026-04-13T14:40:49,U2hpcHBpbmdMYWJlbDo2MDMyMzE5Mzk=,603231939,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDkwNzcx,T3JkZXI6Nzk2MzAxMTM5,49981,POLY BUBBLE #00,valid,9200190380878200004607,9200190380878200004607,796301139,84983,usps_modern,$4.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,5.00,02,bulk ship,,,,,default,6466219409599,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:40:49,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004607,1,,UNKNOWN,False,,0.2200 lb,2.0000 inch,4.80 inch,8.65 inch
T3JkZXI6Nzk2NTIzMDIw,2026-04-13T14:40:53,U2hpcHBpbmdMYWJlbDo2MDMyMzIwNzQ=,603232074,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDkwOTEx,T3JkZXI6Nzk2NTIzMDIw,49981,POLY BUBBLE #00,valid,9200190380878200004614,9200190380878200004614,796523020,84983,usps_modern,$4.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,5.20,02,bulk ship,,,,,default,6466219868351,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:40:53,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004614,1,,UNKNOWN,False,,0.2200 lb,2.0000 inch,4.80 inch,8.65 inch
T3JkZXI6Nzk2MTA3MzE3,2026-04-13T14:43:51,U2hpcHBpbmdMYWJlbDo2MDMyMzY2ODU=,603236685,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDk1NzY0,T3JkZXI6Nzk2MTA3MzE3,46874,S-POLY,valid,9200190380878200004621,9200190380878200004621,796107317,83998,usps_modern,USPS Ground Advantage,USPS_GROUND_ADVANTAGE,5.07,02,shipping web,,,,,default,5986006204734,[],,Primary,115706,0.00,41752,shipping web,2026-04-13T14:43:51,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004621,1,,UNKNOWN,False,,0.2000 lb,2.0000 inch,10.00 inch,12.00 inch
T3JkZXI6Nzk2MTc5NzEx,2026-04-13T14:44:09,U2hpcHBpbmdMYWJlbDo2MDMyMzcyMzY=,603237236,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDk2MzI4,T3JkZXI6Nzk2MTc5NzEx,49982,POLY BUBBLE #0,valid,9200190380878200004645,9200190380878200004645,796179711,84983,usps_modern,$6.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,6.22,02,bulk ship,,,,,default,6466240839871,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:44:10,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004645,1,,UNKNOWN,False,,0.7100 lb,2.0000 inch,5.80 inch,8.70 inch
T3JkZXI6Nzk1OTc1MjU3,2026-04-13T14:44:10,U2hpcHBpbmdMYWJlbDo2MDMyMzcyNDM=,603237243,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDk2MzMz,T3JkZXI6Nzk1OTc1MjU3,49982,POLY BUBBLE #0,valid,9200190380878200004652,9200190380878200004652,795975257,84983,usps_modern,$6.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,6.60,02,bulk ship,,,,,default,6466240676031,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:44:10,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004652,1,,UNKNOWN,False,,0.7100 lb,2.0000 inch,5.80 inch,8.70 inch
T3JkZXI6Nzk3MDY4NTI0,2026-04-13T14:44:10,U2hpcHBpbmdMYWJlbDo2MDMyMzcyNjE=,603237261,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDk2MzQ3,T3JkZXI6Nzk3MDY4NTI0,49982,POLY BUBBLE #0,valid,9200190380878200004638,9200190380878200004638,797068524,84983,usps_modern,$6.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,6.24,02,bulk ship,,,,,default,6466241200319,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:44:10,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004638,1,,UNKNOWN,False,,0.7100 lb,2.0000 inch,5.80 inch,8.70 inch
T3JkZXI6Nzk2MTkzODkx,2026-04-13T14:44:12,U2hpcHBpbmdMYWJlbDo2MDMyMzczNDA=,603237340,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDk2NDMw,T3JkZXI6Nzk2MTkzODkx,49982,POLY BUBBLE #0,valid,9200190380878200004669,9200190380878200004669,796193891,84983,usps_modern,$6.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,6.22,02,bulk ship,,,,,default,6466241364159,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:44:12,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004669,1,,UNKNOWN,False,,0.7100 lb,2.0000 inch,5.80 inch,8.70 inch
T3JkZXI6Nzk2NzY4MjUw,2026-04-13T14:44:16,U2hpcHBpbmdMYWJlbDo2MDMyMzc0MzU=,603237435,QWNjb3VudDo4MzY2Mw==,U2hpcG1lbnQ6NzgyMDk2NTMw,T3JkZXI6Nzk2NzY4MjUw,49982,POLY BUBBLE #0,valid,9200190380878200004676,9200190380878200004676,796768250,84983,usps_modern,$6.99 Standard shipping (3-5 days),USPS_GROUND_ADVANTAGE,6.22,02,bulk ship,,,,,default,6466241888447,[],,Primary,115706,0.00,41752,bulk ship,2026-04-13T14:44:16,https://tools.usps.com/go/TrackConfirmAction_input?strOrigTrackNum=9200190380878200004676,1,,UNKNOWN,False,,0.7100 lb,2.0000 inch,5.80 inch,8.70 inch
