achDebitTransId,achWithdrawalAmount,epsAcctNum,epsTranId,tranAmt,tranDate,tranType,efn,pic,postage,crid,masterMid,permitNumber,permitType,permitFinanceNumber,assessmentType,assessmentDetails,custRefNum1,custRefNum2,mailClass,disputeId
,29146.54,1000273037,1195949917,24.3,2026-07-28 00:39:48,ADJUSTMENT,92750903791782000001539520,9234690379178202615747,24.3,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,"Dimensional,Weight",,,FC,
,-24.64,1000273037,1195949916,7.29,2026-07-28 00:39:48,REFUND,92750903791782000001541141,9234690379178202620857,7.29,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,SO374534,FC,
,29146.54,1000273037,1195949914,3.62,2026-07-28 00:39:48,ADJUSTMENT,92750903791782000001481904,9200190379178203807569,3.62,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4462902,,FC,
,-22.28,1000273037,1195949912,2.25,2026-07-28 00:39:48,REFUND,92750903791782000001528968,9236290379178200058034,2.25,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
,29146.54,1000273037,1195949924,2.09,2026-07-28 00:39:49,ADJUSTMENT,92750903791782000001530831,9236290379178200055729,2.09,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
13100147,8054.92,1000245755,1195949925,1.02,2026-07-28 00:39:49,ADJUSTMENT,92750903791782000001516774,9200190384491000834722,1.02,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,857349890,FC,
,29146.54,1000273037,1195949919,6.06,2026-07-28 00:39:49,ADJUSTMENT,92750903791782000001467557,9200190379178203797280,6.06,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4462068,USWEB388775,FC,
,29146.54,1000273037,1195949923,2.09,2026-07-28 00:39:49,ADJUSTMENT,92750903791782000001529002,9236290379178200057174,2.09,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
,29146.54,1000273037,1195949921,2.26,2026-07-28 00:39:49,ADJUSTMENT,92750903791782000001486145,9200190379178203809006,2.26,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4463298,,FC,
,29146.54,1000273037,1196008584,3.62,2026-07-28 01:42:07,ADJUSTMENT,92750903791782000001490609,9200190379178203824566,3.62,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4463659,,FC,
